Programme ENGLISH Title;Programme ITALIAN Title;Series;Episode #;Episode ENGLISH Title;Episode ITALIAN Title;HN
MICKEY AND FRIENDS;Topolino e i suoi amici;1;146;Mickey's Christmas Carol;Canto di Natale di Topolino;DC00155
MICKEY AND FRIENDS;Topolino e i suoi amici;1;3;Babes in the Woods;I pericoli del bosco;DC00004
MICKEY AND FRIENDS;Topolino e i suoi amici;1;5;Three little pigs;I tre Porcellini;DC00006
MICKEY AND FRIENDS;Topolino e i suoi amici;1;6;The Pied Piper;Il Pifferaio magico;DC00007
MICKEY AND FRIENDS;Topolino e i suoi amici;1;7;The big bad Wolf;Il Lupo Cattivo;DC00008
MICKEY AND FRIENDS;Topolino e i suoi amici;1;8;The tortoise and the Hare;La lepre e la tartaruga;DC00009
MICKEY AND FRIENDS;Topolino e i suoi amici;1;9;The band concert;Il concerto bandistico;DC00010
MICKEY AND FRIENDS;Topolino e i suoi amici;1;10;The golden touch;Re Mida;DC00011
MICKEY AND FRIENDS;Topolino e i suoi amici;1;11;The robber kitten;Il Piccolo Brigante;DC00012
MICKEY AND FRIENDS;Topolino e i suoi amici;1;12;Water babies;Giochi nell'acqua;DC00013
MICKEY AND FRIENDS;Topolino e i suoi amici;1;13;Mickey's garden;Topolino giardiniere;DC00014
MICKEY AND FRIENDS;Topolino e i suoi amici;1;14;Mickey's Fire brigade;I pompieri di Topolino;DC00015
MICKEY AND FRIENDS;Topolino e i suoi amici;1;18;Three little wolves;I Tre Lupetti;DC00020
MICKEY AND FRIENDS;Topolino e i suoi amici;1;19;Alpine Climbers;Gli alpinisti;DC00021
MICKEY AND FRIENDS;Topolino e i suoi amici;1;20;Three blind mouseketeers;I tre moschettieri ciechi;DC00022
MICKEY AND FRIENDS;Topolino e i suoi amici;1;21;Mickey's Elephant;L'elefante di Topolino;DC00023
MICKEY AND FRIENDS;Topolino e i suoi amici;1;23;Little Hiawatha;Il Piccolo Hiawatha;DC00025
MICKEY AND FRIENDS;Topolino e i suoi amici;1;26;Donald's Nephews;I nipoti di Paperino;DC00028
MICKEY AND FRIENDS;Topolino e i suoi amici;1;27;Good scouts;Buoni esploratori;DC00029
MICKEY AND FRIENDS;Topolino e i suoi amici;1;29;Donald's Golf Game;Una Partita A Golf;DC00031
MICKEY AND FRIENDS;Topolino e i suoi amici;1;30;Ferdinand the Bull;Il toro Ferdinando;DC00032
MICKEY AND FRIENDS;Topolino e i suoi amici;1;31;Society dog show;Eroe pubblico n1;DC00033
MICKEY AND FRIENDS;Topolino e i suoi amici;1;33;Hockey Camp;Hockey sul ghiaccio;DC00035
MICKEY AND FRIENDS;Topolino e i suoi amici;1;34;Donald's Cousin gus;Il cugino di Paperino;DC00036
MICKEY AND FRIENDS;Topolino e i suoi amici;1;35;Beach Pic-nic;Picnic sulla Spiaggia;DC00037
MICKEY AND FRIENDS;Topolino e i suoi amici;1;36;The pointer;Pluto cane da punta;DC00038
MICKEY AND FRIENDS;Topolino e i suoi amici;1;38;Bone Trouble;Un problema di ossi;DC00040
MICKEY AND FRIENDS;Topolino e i suoi amici;1;39;Mr Mouse takes a Trip;Topolino va in vacanza;DC00041
MICKEY AND FRIENDS;Topolino e i suoi amici;1;40;Fire Chef;Il capo dei pompieri;DC00042
MICKEY AND FRIENDS;Topolino e i suoi amici;1;41;Pluto's playmate;Il compagno di giochi di Pluto;DC00043
MICKEY AND FRIENDS;Topolino e i suoi amici;1;42;The little Whirlwind;Il piccolo tifone;DC00044
MICKEY AND FRIENDS;Topolino e i suoi amici;1;43;Canine caddy;Una talpa dispettosa;DC00045
MICKEY AND FRIENDS;Topolino e i suoi amici;1;44;Lend a Paw;Porgi la zampa;DC00046
MICKEY AND FRIENDS;Topolino e i suoi amici;1;48;Symphony hour;L'ora della sinfonia;DC00050
MICKEY AND FRIENDS;Topolino e i suoi amici;1;49;Donald's snow fight;Paperino e le palle di neve;DC00051
